Case,Dice,HD95,IoU,Precision,Recall,Model,Original_ID,GPU_Used,Resize_Applied
Case_123,0.0490703247487545,,0.02515227720141411,0.045105960220098495,0.05379869416356087,3D_U-Net,974,True,True
Case_124,0.03377397730946541,,0.01717705838382244,0.031117955222725868,0.03692571446299553,3D_U-Net,975,True,True
Case_125,0.03845922648906708,,0.019606640562415123,0.03917945548892021,0.03776499629020691,3D_U-Net,976,True,True
Case_126,0.04836830496788025,,0.02478352002799511,0.04848084971308708,0.0482562780380249,3D_U-Net,977,True,True
Case_127,0.0166487917304039,,0.008394273929297924,0.013322285376489162,0.022189363837242126,3D_U-Net,978,True,True
Case_128,0.03412337601184845,,0.01735784113407135,0.030217939987778664,0.039188139140605927,3D_U-Net,979,True,True
Case_129,0.031180599704384804,,0.015837207436561584,0.028379224240779877,0.034595608711242676,3D_U-Net,980,True,True
Case_130,0.031333085149526596,,0.0159158892929554,0.0219496451318264,0.054730143398046494,3D_U-Net,981,True,True
Case_131,0.02177216298878193,,0.011005892418324947,0.019565824419260025,0.024539340287446976,3D_U-Net,982,True,True
Case_132,0.029429296031594276,,0.014934402890503407,0.030277976766228676,0.02862689644098282,3D_U-Net,983,True,True
Case_133,0.022538090124726295,,0.011397483758628368,0.020341945812106133,0.025265824049711227,3D_U-Net,984,True,True
Case_134,0.03926948457956314,,0.02002798765897751,0.036437734961509705,0.04257845878601074,3D_U-Net,985,True,True
Case_135,0.04027308151125908,,0.020550355315208435,0.0416736863553524,0.03896356374025345,3D_U-Net,986,True,True
Case_136,0.013780619949102402,,0.006938115693628788,0.013795384205877781,0.01376588735729456,3D_U-Net,987,True,True
Case_137,0.027275748550891876,,0.013826437294483185,0.019800197333097458,0.043819937855005264,3D_U-Net,988,True,True
Case_138,0.016275865957140923,,0.008204702287912369,0.015056325122714043,0.017710382118821144,3D_U-Net,989,True,True
Case_139,0.012854304164648056,,0.006468727719038725,0.010253909043967724,0.01722174510359764,3D_U-Net,990,True,True
Case_140,0.02249874174594879,,0.011377358809113503,0.02344045415520668,0.02162977308034897,3D_U-Net,991,True,True
Case_141,0.026775499805808067,,0.013569413684308529,0.026108453050255775,0.027477525174617767,3D_U-Net,992,True,True
Case_142,0.03527526557445526,,0.017954302951693535,0.032123416662216187,0.03911289945244789,3D_U-Net,993,True,True
Case_143,0.033030539751052856,,0.016792604699730873,0.029338551685214043,0.037785500288009644,3D_U-Net,994,True,True
Case_144,0.03359135612845421,,0.017082592472434044,0.026920735836029053,0.04465673863887787,3D_U-Net,995,True,True
Case_145,0.029597405344247818,,0.01502099446952343,0.027484403923153877,0.032062362879514694,3D_U-Net,996,True,True
Case_146,0.04762432351708412,,0.02439301274716854,0.05464562028646469,0.042201895266771317,3D_U-Net,997,True,True
Case_147,0.06132211163640022,,0.03163089230656624,0.06650108098983765,0.05689151585102081,3D_U-Net,998,True,True
Case_148,0.03210223838686943,,0.016312960535287857,0.030343305319547653,0.03407764062285423,3D_U-Net,999,True,True
Case_149,0.013720715418457985,,0.006907747592777014,0.013423626311123371,0.01403125375509262,3D_U-Net,1000,True,True
